Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,Home_Win
Fri Nov 19 2010,7:30p,Charlotte Bobcats,87,Miami Heat,95,Box Score,,19600,,1
Fri Nov 19 2010,8:00p,Los Angeles Lakers,112,Minnesota Timberwolves,95,Box Score,,19356,,0
Fri Nov 19 2010,8:00p,Cleveland Cavaliers,101,New Orleans Hornets,108,Box Score,,14755,,1
Fri Nov 19 2010,9:00p,San Antonio Spurs,94,Utah Jazz,82,Box Score,,19332,,0
Fri Nov 19 2010,9:30p,Chicago Bulls,88,Dallas Mavericks,83,Box Score,,20133,,0
Fri Nov 19 2010,10:00p,New Jersey Nets,81,Sacramento Kings,86,Box Score,,11766,,1
Fri Nov 19 2010,10:30p,New York Knicks,125,Golden State Warriors,119,Box Score,,19808,,0
Sat Nov 20 2010,7:00p,Phoenix Suns,105,Charlotte Bobcats,123,Box Score,,16428,,1
Sat Nov 20 2010,7:00p,Orlando Magic,90,Indiana Pacers,86,Box Score,,14583,,0
Sat Nov 20 2010,8:00p,Dallas Mavericks,98,Atlanta Hawks,93,Box Score,,14143,,0
Sat Nov 20 2010,8:00p,Miami Heat,95,Memphis Grizzlies,97,Box Score,,18119,,1
Sat Nov 20 2010,8:30p,Oklahoma City Thunder,82,Milwaukee Bucks,81,Box Score,,16975,,0
Sat Nov 20 2010,8:30p,Cleveland Cavaliers,92,San Antonio Spurs,116,Box Score,,16982,,1
Sat Nov 20 2010,9:00p,New Jersey Nets,103,Denver Nuggets,107,Box Score,,16396,,1
Sat Nov 20 2010,10:00p,Utah Jazz,103,Portland Trail Blazers,94,Box Score,,20533,,0
Sat Nov 20 2010,10:30p,New York Knicks,124,Los Angeles Clippers,115,Box Score,,18325,,0
Sun Nov 21 2010,1:00p,Boston Celtics,101,Toronto Raptors,102,Box Score,,17707,,1
Sun Nov 21 2010,6:00p,Washington Wizards,110,Detroit Pistons,115,Box Score,OT,13241,,1
Sun Nov 21 2010,6:00p,New Orleans Hornets,75,Sacramento Kings,71,Box Score,,12003,,0
Sun Nov 21 2010,9:30p,Golden State Warriors,89,Los Angeles Lakers,117,Box Score,,18997,,1
Mon Nov 22 2010,7:00p,Boston Celtics,99,Atlanta Hawks,76,Box Score,,14476,,0
Mon Nov 22 2010,7:30p,Indiana Pacers,93,Miami Heat,77,Box Score,,19600,,0
Mon Nov 22 2010,8:00p,Minnesota Timberwolves,107,Oklahoma City Thunder,117,Box Score,,17653,,1
Mon Nov 22 2010,8:30p,Phoenix Suns,123,Houston Rockets,116,Box Score,,15080,,0
Mon Nov 22 2010,8:30p,Orlando Magic,97,San Antonio Spurs,106,Box Score,,17627,,1
Mon Nov 22 2010,9:00p,Sacramento Kings,83,Utah Jazz,94,Box Score,,18698,,1
Mon Nov 22 2010,10:30p,Denver Nuggets,106,Golden State Warriors,89,Box Score,,18023,,0
Mon Nov 22 2010,10:30p,New Orleans Hornets,95,Los Angeles Clippers,99,Box Score,,17787,,1
Tue Nov 23 2010,7:00p,Cleveland Cavaliers,89,Indiana Pacers,100,Box Score,,12629,,1
Tue Nov 23 2010,7:00p,Atlanta Hawks,101,New Jersey Nets,107,Box Score,OT,13010,,1
Tue Nov 23 2010,7:00p,Philadelphia 76ers,114,Washington Wizards,116,Box Score,OT,16197,,1
Tue Nov 23 2010,7:30p,Charlotte Bobcats,107,New York Knicks,110,Box Score,,19763,,1
Tue Nov 23 2010,8:30p,Detroit Pistons,84,Dallas Mavericks,88,Box Score,,19734,,1
Tue Nov 23 2010,10:30p,Chicago Bulls,91,Los Angeles Lakers,98,Box Score,,18997,,1
Wed Nov 24 2010,7:00p,New York Knicks,99,Charlotte Bobcats,95,Box Score,,15588,,0
Wed Nov 24 2010,7:00p,Milwaukee Bucks,81,Cleveland Cavaliers,83,Box Score,,20562,,1
Wed Nov 24 2010,7:00p,Philadelphia 76ers,90,Toronto Raptors,106,Box Score,,15012,,1
Wed Nov 24 2010,7:30p,New Jersey Nets,83,Boston Celtics,89,Box Score,,18624,,1
Wed Nov 24 2010,7:30p,Miami Heat,95,Orlando Magic,104,Box Score,,18936,,1
Wed Nov 24 2010,8:00p,Detroit Pistons,84,Memphis Grizzlies,105,Box Score,,11283,,1
Wed Nov 24 2010,8:00p,San Antonio Spurs,113,Minnesota Timberwolves,109,Box Score,OT,13117,,0
Wed Nov 24 2010,8:00p,Dallas Mavericks,111,Oklahoma City Thunder,103,Box Score,,18203,,0
Wed Nov 24 2010,8:30p,Golden State Warriors,101,Houston Rockets,111,Box Score,,13847,,1
Wed Nov 24 2010,9:00p,Chicago Bulls,123,Phoenix Suns,115,Box Score,2OT,18422,,0
Wed Nov 24 2010,9:00p,New Orleans Hornets,87,Utah Jazz,105,Box Score,,19237,,1
Thu Nov 25 2010,8:00p,Washington Wizards,96,Atlanta Hawks,116,Box Score,,15042,,1
Thu Nov 25 2010,10:30p,Sacramento Kings,82,Los Angeles Clippers,100,Box Score,,11504,,1
Fri Nov 26 2010,7:00p,Houston Rockets,89,Charlotte Bobcats,99,Box Score,,16473,,1
Fri Nov 26 2010,7:00p,Cleveland Cavaliers,100,Orlando Magic,111,Box Score,,18846,,1
Fri Nov 26 2010,7:30p,Toronto Raptors,101,Boston Celtics,110,Box Score,,18624,,1
Fri Nov 26 2010,7:30p,Milwaukee Bucks,89,Detroit Pistons,103,Box Score,,17133,,1
Fri Nov 26 2010,7:30p,Philadelphia 76ers,90,Miami Heat,99,Box Score,,19800,,1
Fri Nov 26 2010,8:00p,Oklahoma City Thunder,110,Indiana Pacers,106,Box Score,OT,17155,,0
Fri Nov 26 2010,8:30p,Dallas Mavericks,103,San Antonio Spurs,94,Box Score,,18581,,0
Fri Nov 26 2010,9:00p,Chicago Bulls,97,Denver Nuggets,98,Box Score,,19155,,1
Fri Nov 26 2010,9:00p,Los Angeles Clippers,108,Phoenix Suns,116,Box Score,,17486,,1
Fri Nov 26 2010,9:00p,Los Angeles Lakers,96,Utah Jazz,102,Box Score,,19911,,1
Fri Nov 26 2010,9:30p,Golden State Warriors,111,Memphis Grizzlies,116,Box Score,,14753,,1
Fri Nov 26 2010,10:00p,New Orleans Hornets,97,Portland Trail Blazers,78,Box Score,,20452,,0
Sat Nov 27 2010,1:00p,Atlanta Hawks,99,New York Knicks,90,Box Score,,19763,,0
Sat Nov 27 2010,7:00p,Orlando Magic,100,Washington Wizards,99,Box Score,,16435,,0
